,,0,1,2,3,4
90.0,128,0.0,0.0,0.0,0.0,0.0
90.0,4,5.0,0.0,0.0,3.0,0.0
90.0,261,10.0,0.0,0.0,8.0,0.0
90.0,262,88.0,0.0,10.0,70.0,0.125
90.0,263,76.0,0.0,9.0,65.0,0.12162162162162163
90.0,137,55.0,0.0,2.0,46.0,0.041666666666666664
90.0,12,0.0,0.0,0.0,0.0,0.0
90.0,13,51.0,0.0,2.0,33.0,0.05714285714285714
90.0,140,40.0,0.0,11.0,33.0,0.25
90.0,141,75.0,0.0,9.0,77.0,0.10465116279069768
90.0,142,57.0,0.0,13.0,53.0,0.19696969696969696
90.0,143,30.0,0.0,2.0,40.0,0.047619047619047616
90.0,144,10.0,0.0,0.0,7.0,0.0
90.0,148,13.0,0.0,0.0,8.0,0.0
90.0,151,24.0,0.0,2.0,22.0,0.08333333333333333
90.0,24,11.0,0.0,0.0,7.0,0.0
90.0,152,5.0,0.0,0.0,4.0,0.0
90.0,158,21.0,0.0,0.0,16.0,0.0
90.0,161,47.0,0.0,6.0,32.0,0.15789473684210525
90.0,162,77.0,0.0,16.0,71.0,0.1839080459770115
90.0,163,37.0,0.0,2.0,20.0,0.09090909090909091
90.0,164,27.0,0.0,4.0,22.0,0.15384615384615385
90.0,166,6.0,0.0,1.0,3.0,0.25
90.0,41,18.0,0.0,2.0,10.0,0.16666666666666666
90.0,42,11.0,0.0,1.0,5.0,0.16666666666666666
90.0,43,20.0,0.0,3.0,20.0,0.13043478260869565
90.0,170,75.0,0.0,9.0,75.0,0.10714285714285714
90.0,45,1.0,0.0,0.0,1.0,0.0
90.0,48,91.0,0.0,20.0,78.0,0.20408163265306123
90.0,50,23.0,0.0,9.0,18.0,0.3333333333333333
90.0,186,162.0,0.0,22.0,133.0,0.14193548387096774
90.0,194,0.0,0.0,0.0,0.0,0.0
90.0,68,54.0,0.0,9.0,42.0,0.17647058823529413
90.0,74,25.0,0.0,4.0,17.0,0.19047619047619047
90.0,75,30.0,0.0,5.0,26.0,0.16129032258064516
90.0,79,40.0,0.0,5.0,37.0,0.11904761904761904
90.0,209,3.0,0.0,0.0,2.0,0.0
90.0,211,4.0,0.0,1.0,3.0,0.25
90.0,87,27.0,0.0,1.0,15.0,0.0625
90.0,88,13.0,0.0,0.0,6.0,0.0
90.0,90,40.0,0.0,9.0,30.0,0.23076923076923078
90.0,224,14.0,0.0,4.0,10.0,0.2857142857142857
90.0,100,123.0,0.0,22.0,101.0,0.17886178861788618
90.0,229,57.0,0.0,6.0,43.0,0.12244897959183673
90.0,230,38.0,0.0,6.0,30.0,0.16666666666666666
90.0,231,47.0,0.0,7.0,35.0,0.16666666666666666
90.0,232,0.0,0.0,0.0,1.0,0.0
90.0,233,33.0,0.0,5.0,26.0,0.16129032258064516
90.0,234,36.0,0.0,6.0,36.0,0.14285714285714285
90.0,107,78.0,0.0,9.0,67.0,0.11842105263157894
90.0,236,106.0,0.0,10.0,89.0,0.10101010101010101
90.0,237,70.0,0.0,15.0,70.0,0.17647058823529413
90.0,238,51.0,0.0,9.0,42.0,0.17647058823529413
90.0,239,52.0,0.0,9.0,37.0,0.1956521739130435
90.0,113,37.0,0.0,5.0,25.0,0.16666666666666666
90.0,114,11.0,0.0,2.0,9.0,0.18181818181818182
90.0,243,0.0,0.0,0.0,0.0,0.0
90.0,116,10.0,0.0,1.0,5.0,0.16666666666666666
90.0,244,5.0,0.0,0.0,5.0,0.0
90.0,246,11.0,0.0,4.0,10.0,0.2857142857142857
90.0,120,0.0,0.0,0.0,0.0,0.0
90.0,249,44.0,0.0,6.0,33.0,0.15384615384615385
90.0,125,8.0,0.0,1.0,6.0,0.14285714285714285
90.0,127,0.0,0.0,0.0,0.0,0.0
91.0,128,0.0,0.0,0.0,0.0,0.0
91.0,4,14.0,0.0,1.0,9.0,0.1
91.0,261,15.0,0.0,0.0,6.0,0.0
91.0,262,159.0,0.0,7.0,73.0,0.0875
91.0,263,135.0,0.0,10.0,61.0,0.14084507042253522
