,zone,idle_suuply1500,served_1500,denied1500,total_demand1500,denied_rate1500,idle_suuply2000,served_2000,denied2000,total_demand2000,denied_rate2000,idle_suuply2500,served_2500,denied2500,total_demand2500,denied_rate2500,idle_suuply3000,served_3000,denied3000,total_demand3000,denied_rate3000,idle_suuply3500,served_3500,denied3500,total_demand3500,denied_rate3500,idle_suuply4000,served_4000,denied4000,total_demand4000,denied_rate4000
0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,194,0.0,0.0,1.0,1.0,0.9990009990009991,0.0,0.0,1.0,1.0,0.9990009990009991,0.0,0.0,1.0,1.0,0.9990009990009991,0.0,0.0,1.0,1.0,0.9990009990009991,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9990009990009991
2,128,0.0,0.0,1.0,1.0,0.9990009990009991,0.0,0.0,1.0,1.0,0.9990009990009991,0.0,0.0,1.0,1.0,0.9990009990009991,0.0,0.0,1.0,1.0,0.9990009990009991,0.0,0.0,1.0,1.0,0.9990009990009991,0.0,0.0,1.0,1.0,0.9990009990009991
3,127,0.0,0.0,3.0,3.0,0.9996667777407531,2.0,0.0,3.0,3.0,0.9996667777407531,0.0,0.0,3.0,3.0,0.9996667777407531,2.0,0.0,3.0,3.0,0.9996667777407531,2.0,0.0,3.0,3.0,0.9996667777407531,1.0,0.0,3.0,3.0,0.9996667777407531
4,243,1.0,1.0,11.0,12.0,0.9165902841429882,1.0,2.0,8.0,12.0,0.666611115740355,3.0,1.0,11.0,12.0,0.9165902841429882,1.0,1.0,10.0,12.0,0.8332638946754437,3.0,1.0,10.0,12.0,0.8332638946754437,5.0,2.0,9.0,12.0,0.7499375052078994
5,12,4.0,9.0,21.0,33.0,0.6363443532014181,3.0,13.0,14.0,33.0,0.4242295688009455,8.0,13.0,16.0,33.0,0.4848337929153662,7.0,11.0,21.0,33.0,0.6363443532014181,2.0,16.0,11.0,33.0,0.3333232326293143,6.0,12.0,18.0,33.0,0.545438017029787
6,232,6.0,26.0,23.0,53.0,0.43395407633818234,6.0,25.0,24.0,53.0,0.452821644874625,11.0,17.0,27.0,53.0,0.5094243504839532,12.0,19.0,31.0,53.0,0.584894624629724,12.0,33.0,17.0,53.0,0.32074866511952604,11.0,31.0,20.0,53.0,0.37735137072885416
7,116,9.0,36.0,36.0,84.0,0.4285663265913501,8.0,34.0,38.0,84.0,0.45237556695753617,5.0,39.0,37.0,84.0,0.44047094677444315,8.0,43.0,31.0,84.0,0.36904322567588477,14.0,41.0,33.0,84.0,0.3928524660420709,12.0,46.0,29.0,84.0,0.3452339853096987
8,152,3.0,15.0,40.0,60.0,0.6666555557407376,11.0,13.0,42.0,60.0,0.6999883335277746,15.0,29.0,27.0,60.0,0.4499925001249979,10.0,30.0,29.0,60.0,0.48332527791203483,7.0,27.0,28.0,60.0,0.4666588890185164,9.0,34.0,24.0,60.0,0.3999933334444426
9,209,5.0,25.0,44.0,74.0,0.5945865596410859,5.0,32.0,41.0,74.0,0.5540465669382846,13.0,45.0,25.0,74.0,0.3378332725233443,10.0,39.0,30.0,74.0,0.4053999270280131,21.0,47.0,24.0,74.0,0.3243199416224105,15.0,36.0,33.0,74.0,0.4459399197308144
10,45,2.0,22.0,48.0,78.0,0.615376725939411,6.0,41.0,33.0,78.0,0.42307149908334507,15.0,42.0,28.0,78.0,0.35896975679798976,21.0,49.0,26.0,78.0,0.33332905988384764,8.0,44.0,28.0,78.0,0.35896975679798976,23.0,51.0,19.0,78.0,0.2435866206843502
11,244,3.0,21.0,49.0,75.0,0.6533246223383687,1.0,21.0,46.0,75.0,0.6133251556645911,5.0,35.0,35.0,75.0,0.4666604445274063,9.0,34.0,38.0,75.0,0.5066599112011839,7.0,48.0,23.0,75.0,0.30666257783229556,4.0,36.0,36.0,75.0,0.47999360008533215
